program,opt,avg_real
01_constant_folding,O0,0.008261
01_constant_folding,O1,0.008341
01_constant_folding,O2,0.008326
01_constant_folding,O3,0.008084
01_constant_folding,Os,0.008618
02_dead_code_elimination,O0,0.010414
02_dead_code_elimination,O1,0.009777
02_dead_code_elimination,O2,0.008770
02_dead_code_elimination,O3,0.009975
02_dead_code_elimination,Os,0.010827
03_common_subexpression_elimination,O0,0.009378
03_common_subexpression_elimination,O1,0.008863
03_common_subexpression_elimination,O2,0.007978
03_common_subexpression_elimination,O3,0.008702
03_common_subexpression_elimination,Os,0.008171
04_strength_reduction,O0,0.008848
04_strength_reduction,O1,0.008107
04_strength_reduction,O2,0.008711
04_strength_reduction,O3,0.008173
04_strength_reduction,Os,0.008129
05_frequency_reduction_loop_invariant,O0,0.009269
05_frequency_reduction_loop_invariant,O1,0.009363
05_frequency_reduction_loop_invariant,O2,0.009507
05_frequency_reduction_loop_invariant,O3,0.008973
05_frequency_reduction_loop_invariant,Os,0.008773
06_loop_unrolling,O0,0.009026
06_loop_unrolling,O1,0.008430
06_loop_unrolling,O2,0.008750
06_loop_unrolling,O3,0.009349
06_loop_unrolling,Os,0.009419
07_loop_jamming_fusion,O0,0.008260
07_loop_jamming_fusion,O1,0.007897
07_loop_jamming_fusion,O2,0.008416
07_loop_jamming_fusion,O3,0.011040
07_loop_jamming_fusion,Os,0.009867
08_unnecessary_computation_large,O0,0.010327
08_unnecessary_computation_large,O1,0.009784
08_unnecessary_computation_large,O2,0.010209
08_unnecessary_computation_large,O3,0.009927
08_unnecessary_computation_large,Os,0.010391
09_frequency_reduction_constant_in_loop_large,O0,0.011930
09_frequency_reduction_constant_in_loop_large,O1,0.013747
09_frequency_reduction_constant_in_loop_large,O2,0.009877
09_frequency_reduction_constant_in_loop_large,O3,0.009566
09_frequency_reduction_constant_in_loop_large,Os,0.010125
10_loop_unrolling_large_array,O0,0.020131
10_loop_unrolling_large_array,O1,0.013542
10_loop_unrolling_large_array,O2,0.013517
10_loop_unrolling_large_array,O3,0.012040
10_loop_unrolling_large_array,Os,0.013319
11_loop_fusion_large,O0,0.030223
11_loop_fusion_large,O1,0.019776
11_loop_fusion_large,O2,0.016397
11_loop_fusion_large,O3,0.016617
11_loop_fusion_large,Os,0.021706
