program,opt,text,data,bss,dec,hex,bytes
01_branch_deadcode,O0,1600,600,8,2208,8a0,16712
01_branch_deadcode,O1,1554,600,8,2162,872,16712
01_branch_deadcode,O2,1554,600,8,2162,872,16712
01_branch_deadcode,O3,1554,600,8,2162,872,16712
01_branch_deadcode,Os,1554,600,8,2162,872,16712
02_cse_constantprop,O0,1626,600,8,2234,8ba,16712
02_cse_constantprop,O1,1604,600,8,2212,8a4,16720
02_cse_constantprop,O2,1604,600,8,2212,8a4,16720
02_cse_constantprop,O3,1604,600,8,2212,8a4,16720
02_cse_constantprop,Os,1604,600,8,2212,8a4,16720
03_strength_induction,O0,1657,600,8,2265,8d9,16712
03_strength_induction,O1,1603,600,8,2211,8a3,16720
03_strength_induction,O2,1603,600,8,2211,8a3,16720
03_strength_induction,O3,1603,600,8,2211,8a3,16720
03_strength_induction,Os,1587,600,8,2195,893,16720
04_loop_invariant_freq,O0,1673,600,8,2281,8e9,16712
04_loop_invariant_freq,O1,1603,600,8,2211,8a3,16720
04_loop_invariant_freq,O2,1603,600,8,2211,8a3,16720
04_loop_invariant_freq,O3,1603,600,8,2211,8a3,16720
04_loop_invariant_freq,Os,1603,600,8,2211,8a3,16720
05_loop_fusion_jamming,O0,1865,600,12000032,12002497,b724c1,16792
05_loop_fusion_jamming,O1,1763,600,8000032,8002395,7a1b5b,16768
05_loop_fusion_jamming,O2,1747,600,8000032,8002379,7a1b4b,16768
05_loop_fusion_jamming,O3,1937,600,8000032,8002569,7a1c09,16768
05_loop_fusion_jamming,Os,1699,600,8000032,8002331,7a1b1b,16768
06_inlining_unrolling,O0,1729,600,8,2337,921,16744
06_inlining_unrolling,O1,1667,600,8,2275,8e3,16720
06_inlining_unrolling,O2,1667,600,8,2275,8e3,16720
06_inlining_unrolling,O3,1833,600,8,2441,989,16720
06_inlining_unrolling,Os,1619,600,8,2227,8b3,16720
07_combined_program_1,O0,1849,600,6400032,6402481,61b1b1,16768
07_combined_program_1,O1,1731,600,6400032,6402363,61b13b,16768
07_combined_program_1,O2,1715,600,6400032,6402347,61b12b,16768
07_combined_program_1,O3,1865,600,6400032,6402497,61b1c1,16768
07_combined_program_1,Os,1683,600,6400032,6402315,61b10b,16768
08_combined_program_2,O0,1849,600,10800032,10802481,a4d531,16792
08_combined_program_2,O1,1747,600,7200032,7202379,6de64b,16776
08_combined_program_2,O2,1747,600,7200032,7202379,6de64b,16776
08_combined_program_2,O3,1889,600,7200032,7202521,6de6d9,16776
08_combined_program_2,Os,1683,600,7200032,7202315,6de60b,16776
